approach,baseline,metric,mean_diff,p_value,w_statistic,wins,ties,losses
shaker_entropy,standard_ari_var,id_only_spearman_true,-0.019121938543685574,0.3602444711804462,547524.0,0,2625,0
shaker_entropy,standard_ari_var,ood_only_spearman_true,-0.0032881483517986127,0.01943604163546422,456980.0,652,1232,741
shaker_entropy,standard_ari_var,ood_id_variance_ratio,-106400558.8300638,2.0543730053715245e-228,470225.0,710,27,1888
shaker_geom_var,standard_ari_var,id_only_spearman_true,-0.019121938543685574,0.3602444711804462,547524.0,0,2625,0
shaker_geom_var,standard_ari_var,ood_only_spearman_true,-0.0032881483517986127,0.01943604163546422,456980.0,652,1232,741
shaker_geom_var,standard_ari_var,ood_id_variance_ratio,-0.025752680018396687,1.6710568728526563e-07,1520101.0,1576,79,970
shaker_geom_std,standard_ari_var,id_only_spearman_true,-0.019121938543685574,0.3602444711804462,547524.0,0,2625,0
shaker_geom_std,standard_ari_var,ood_only_spearman_true,-0.0032881483517986127,0.01943604163546422,456980.0,652,1232,741
shaker_geom_std,standard_ari_var,ood_id_variance_ratio,-0.08704729896062968,1.9818303812780483e-26,1310179.0,1667,61,897
standard_ari_std,standard_ari_var,id_only_spearman_true,0.0,1.0,0.0,0,2625,0
standard_ari_std,standard_ari_var,ood_only_spearman_true,0.0,1.0,0.0,0,2625,0
standard_ari_std,standard_ari_var,ood_id_variance_ratio,-0.07602981948601636,1.3498868707803869e-20,1361980.0,1565,49,1011
standard_disagreement,standard_ari_var,id_only_spearman_true,-0.06885397402149832,2.1123804615127216e-242,4994.0,24,1126,1475
standard_disagreement,standard_ari_var,ood_only_spearman_true,-0.006227408838454819,2.1112495370286842e-08,419104.5,613,1207,805
standard_disagreement,standard_ari_var,ood_id_variance_ratio,0.006006190133255408,1.7066354710611187e-43,1186263.0,841,2,1782
