task_id,optimizer_id,seed,level_3,n_trials,n_function_calls,trial_info__config,trial_info__instance,trial_info__seed,trial_info__budget,trial_info__normalized_budget,trial_info__name,trial_info__checkpoint,trial_value__cost,trial_value__time,trial_value__virtual_time,trial_value__status,trial_value__starttime,trial_value__endtime,benchmark_id,task_type,subset_id,task.optimization_resources.n_trials,trial_value__cost_raw,trial_value__cost_inc,time,experiment_id
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,0,1,1,"[0.8999999761581421, 0.004556754138320684, 8.0, 0.004556754138320684]",None,1687321482,None,None,None,None,3.4831069313856486e-05,0.04151415824890137,823.5616618489107,1,1789376730.3655171,1789376730.4070313,HPOBench,blackbox,dev,100,3.4831069313856486e-05,3.4831069313856486e-05,823.5616618489107,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,1,2,2,"[0.30000001192092896, 0.09921256452798843, 20.0, 1024.0]",None,1687321482,None,None,None,None,0.00046441425751770905,0.03957009315490723,1019.2536140744949,1,1789376730.4188237,1789376730.4583938,HPOBench,blackbox,dev,100,0.00046441425751770905,3.4831069313856486e-05,1842.8685825029954,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,2,3,3,"[0.30000001192092896, 0.0009765625, 1.0, 0.09921256452798843]",None,1687321482,None,None,None,None,4.6441425751786444e-05,0.04050588607788086,531.8482692367342,1,1789376730.4662592,1789376730.5067651,HPOBench,blackbox,dev,100,4.6441425751786444e-05,3.4831069313856486e-05,2374.764287261809,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,3,4,4,"[0.699999988079071, 0.4629373550415039, 32.0, 10.079368591308594]",None,1687321482,None,None,None,None,2.3220712875904325e-05,0.040190935134887695,854.1909904542817,1,1789376730.5164747,1789376730.5566657,HPOBench,blackbox,dev,100,2.3220712875904325e-05,2.3220712875904325e-05,3229.0054931988025,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,4,5,5,"[0.6000000238418579, 0.004556754138320684, 8.0, 2.1601195335388184]",None,1687321482,None,None,None,None,0.0,0.03990793228149414,739.6783106327057,1,1789376730.5672753,1789376730.6071832,HPOBench,blackbox,dev,100,0.0,0.0,3968.734604393413,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,5,6,6,"[0.5, 0.4629373550415039, 3.0, 0.09921256452798843]",None,1687321482,None,None,None,None,3.483106931383429e-05,0.040200233459472656,644.368400225528,1,1789376730.6185765,1789376730.6587768,HPOBench,blackbox,dev,100,3.483106931383429e-05,0.0,4613.154305859862,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,6,7,7,"[0.10000000149011612, 0.02126234397292137, 32.0, 219.45445251464844]",None,1687321482,None,None,None,None,0.0002089864158829613,0.040009260177612305,810.2364218800543,1,1789376730.6676712,1789376730.7076805,HPOBench,blackbox,dev,100,0.0002089864158829613,0.0,5423.439822416887,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,7,8,8,"[0.8999999761581421, 0.09921256452798843, 2.0, 0.0009765625]",None,1687321482,None,None,None,None,1.1610356437952163e-05,0.040206193923950195,802.3584657938904,1,1789376730.716761,1789376730.7569673,HPOBench,blackbox,dev,100,1.1610356437952163e-05,0.0,6225.847378119377,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,8,9,9,"[1.0, 0.0009765625, 50.0, 0.02126234397292137]",None,1687321482,None,None,None,None,4.6441425751786444e-05,0.039459228515625,851.5207975036409,1,1789376730.7659419,1789376730.805401,HPOBench,blackbox,dev,100,4.6441425751786444e-05,0.0,7077.4173563690965,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,9,10,10,"[0.10000000149011612, 1.0, 2.0, 2.1601195335388184]",None,1687321482,None,None,None,None,1.1610356437952163e-05,0.03998970985412598,568.2223676474518,1,1789376730.8149786,1789376730.8549683,HPOBench,blackbox,dev,100,1.1610356437952163e-05,0.0,7645.688760757805,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,10,11,11,"[0.4000000059604645, 0.009843133389949799, 13.0, 0.0009765625]",None,1687321482,None,None,None,None,4.6441425751786444e-05,0.03978729248046875,651.6684324867038,1,1789376730.8635886,1789376730.9033759,HPOBench,blackbox,dev,100,4.6441425751786444e-05,0.0,8297.405803216509,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,11,12,12,"[0.6000000238418579, 0.09921256452798843, 5.0, 47.0315055847168]",None,1687321482,None,None,None,None,1.1610356437952163e-05,0.04002690315246582,1018.6493777068085,1,1789376730.91252,1789376730.9525468,HPOBench,blackbox,dev,100,1.1610356437952163e-05,0.0,9316.104112283561,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,12,13,13,"[0.800000011920929, 0.02126234397292137, 1.0, 1024.0]",None,1687321482,None,None,None,None,0.0005805178218970975,0.03984427452087402,712.2178823134631,1,1789376730.9617672,1789376731.0016115,HPOBench,blackbox,dev,100,0.0005805178218970975,0.0,10028.371241861887,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,13,14,14,"[0.4000000059604645, 0.045929204672575, 20.0, 0.02126234397292137]",None,1687321482,None,None,None,None,4.6441425751786444e-05,0.03976750373840332,657.7396550304202,1,1789376731.0106223,1789376731.0503898,HPOBench,blackbox,dev,100,4.6441425751786444e-05,0.0,10686.159751958607,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,14,15,15,"[0.20000000298023224, 0.0021094917319715023, 5.0, 47.0315055847168]",None,1687321482,None,None,None,None,5.8051782189760814e-05,0.03968024253845215,766.6682702460024,1,1789376731.0592146,1789376731.0988948,HPOBench,blackbox,dev,100,5.8051782189760814e-05,0.0,11452.876614533634,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,SMAC20_ProximityLCB_k10,6,15,16,16,"[0.800000011920929, 0.4629373550415039, 20.0, 0.4629373550415039]",None,1687321482,None,None,None,None,2.3220712875904325e-05,0.04019045829772949,786.2884316507234,1,1789376731.1085143,1789376731.1487048,HPOBench,blackbox,dev,100,2.3220712875904325e-05,0.0,12239.214345901306,0
