task,n_seeds,mean_proposed,sem_proposed,mean_baseline,sem_baseline,cliffs_delta,wins,ties,losses
blackbox/20/dev/bbob/2/12/0,10,4442.836858829762,3869.127352353689,26761.159466623376,17434.139782092767,-0.35,5,3,2
blackbox/20/dev/bbob/2/12/1,10,1314.8583655389696,1646.5481977573224,1454.0073612282504,1656.1669866435984,0.24,2,0,8
blackbox/20/dev/bbob/2/20/0,10,185.45909034816287,0.2695767643816674,185.31527801861043,0.26345542965257185,0.08,5,0,5
blackbox/20/dev/bbob/4/6/1,10,100.72110562941268,10.136981042497657,84.98021152655647,6.194737266406809,0.2,3,2,5
blackbox/20/dev/hpobench/blackbox/tabular/ml/lr/146818,10,0.15639024390243908,0.0002539918593790764,0.1559024390243903,0.00019512195121951237,0.33,1,5,4
blackbox/20/dev/hpobench/blackbox/tabular/ml/rf/146212,10,4.992453268317875e-05,6.008040054280594e-06,5.108556832696731e-05,3.94676226912281e-06,-0.11,4,1,5
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,10,1.1610356437952163e-06,1.1610356437952161e-06,0.0,0.0,0.1,0,9,1
blackbox/20/dev/yahpo/lcbench/168335/None,10,-96.58945236206054,0.6154137687038252,-95.34656829833985,0.7912985890152118,-0.35,8,1,1
blackbox/20/dev/yahpo/rbv2_aknn/1462/None,10,-0.9998628854751587,5.920503239235996e-05,-0.9999279081821442,3.743599957139609e-05,0.13,5,1,4
blackbox/20/dev/yahpo/rbv2_aknn/312/None,10,-0.966636699438095,0.0005866219234271033,-0.9667213022708893,0.0004689213317762368,-0.02,4,2,4
blackbox/20/dev/yahpo/rbv2_aknn/40498/None,10,-0.6543237626552582,0.013198026346690732,-0.6689033508300781,0.007198215011091416,0.3,3,0,7
blackbox/20/dev/yahpo/rbv2_aknn/458/None,10,-0.9979733347892761,0.00026735025222016795,-0.9986486434936523,0.00010052704823884874,0.49,1,1,8
blackbox/20/dev/yahpo/rbv2_glmnet/41157/None,10,-0.6152376174926758,0.008103627638535804,-0.6145259022712708,0.012440670979483858,-0.04,6,0,4
blackbox/20/dev/yahpo/rbv2_ranger/40927/None,10,-1.0,0.0,-1.0,0.0,0.0,0,10,0
blackbox/20/dev/yahpo/rbv2_svm/182/None,10,-0.9159291505813598,0.003572933788421637,-0.9155617892742157,0.0029040874739482813,-0.04,7,0,3
blackbox/20/dev/yahpo/rbv2_svm/24/None,10,-0.999997901916504,3.787279942017827e-07,-0.9999976098537445,4.614775187224523e-07,-0.08,2,6,2
blackbox/20/dev/yahpo/rbv2_xgboost/23512/None,10,-0.9392156839370728,0.02525783393612478,-0.9671247243881226,0.02126361797105635,0.36,2,2,6
blackbox/20/dev/yahpo/rbv2_xgboost/42/None,10,-0.8688108623027802,0.021368687030771154,-0.8795137941837311,0.03336544536743361,0.02,5,0,5
