task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
ackley_2d,baseline,SMAC3 Baseline (EI),1,50,3.617753254172016,3.617753254172016,0.0005682659149169922
ackley_2d,baseline,SMAC3 Baseline (EI),2,50,2.769053769214118,2.769053769214118,0.0005687665939331055
ackley_2d,baseline,SMAC3 Baseline (EI),3,50,6.215900637650424,6.215900637650424,0.0005946922302246094
ackley_2d,baseline,SMAC3 Baseline (EI),4,50,0.18949971940659482,0.18949971940659482,0.0005775022506713867
ackley_2d,baseline,SMAC3 Baseline (EI),5,50,1.2869734173257545,1.2869734173257545,0.0006129884719848633
ackley_2d,baseline,SMAC3 Baseline (EI),6,50,0.12897001885306425,0.12897001885306425,0.0005934238433837891
ackley_2d,baseline,SMAC3 Baseline (EI),7,50,0.9984442702798835,0.9984442702798835,0.0005804157257080078
ackley_2d,baseline,SMAC3 Baseline (EI),8,50,1.0398857991397255,1.0398857991397255,0.0006187057495117187
ackley_2d,baseline,SMAC3 Baseline (EI),9,50,2.8629106858934823,2.8629106858934823,0.0006244659423828125
ackley_2d,baseline,SMAC3 Baseline (EI),10,50,0.10430519770350744,0.10430519770350744,0.0005280876159667969
ackley_2d,baseline,SMAC3 Baseline (EI),11,50,1.0914467947213429,1.0914467947213429,0.0006146430969238281
ackley_2d,baseline,SMAC3 Baseline (EI),12,50,0.235037687067845,0.235037687067845,0.0006549644470214843
ackley_2d,baseline,SMAC3 Baseline (EI),13,50,4.93212652951749,4.93212652951749,0.0005835247039794922
ackley_2d,baseline,SMAC3 Baseline (EI),14,50,6.093868212638615,6.093868212638615,0.0005200910568237305
ackley_2d,baseline,SMAC3 Baseline (EI),15,50,0.52000715070993,0.52000715070993,0.0006607866287231445
ackley_2d,baseline,SMAC3 Baseline (EI),16,50,2.6413708404724727,2.6413708404724727,0.0005879020690917969
ackley_2d,baseline,SMAC3 Baseline (EI),17,50,3.852319556723494,3.852319556723494,0.0005852317810058593
