dimension,sampling_strategy,n_experiments,dist_norm_slcb_mean,dist_norm_slcb_sem,dist_inf_slcb_mean,dist_inf_slcb_sem,diff_slcb_mean,pvalue_slcb,cliffs_delta_slcb,wins_slcb,ties_slcb,losses_slcb,dist_norm_plcb_mean,dist_norm_plcb_sem,dist_inf_plcb_mean,dist_inf_plcb_sem,diff_plcb_mean,pvalue_plcb,cliffs_delta_plcb,wins_plcb,ties_plcb,losses_plcb
2,natural,160,0.018519817418296336,0.023554656760027912,0.03289001232848462,0.022160472662560254,0.01437019491018823,2.6171165115220973e-12,0.030546875,113,0,47,-0.23812713376589997,0.01506707601401628,-0.22500261156040544,0.014116259110961059,0.013124522205494584,3.507556177802982e-18,0.066796875,131,0,29
2,stratified,160,0.07163356194684205,0.045644708851805854,0.0710391916174012,0.0452215513096657,-0.0005943703294408381,0.9158788961291436,-0.001640625,86,0,74,-0.5034182169614114,0.029072337128802514,-0.4966106397402619,0.02888228088987477,0.00680757722114962,1.587836259376595e-11,0.034375,119,0,41
3,natural,160,-0.0811388623134277,0.018824449762329182,-0.05073656758850474,0.01589980610993331,0.030402294724922944,5.082189166338336e-15,0.084140625,115,0,45,-0.24146331917880848,0.012490618651776282,-0.203594096044485,0.010455111758881261,0.037869223134323476,1.3505018466167592e-24,0.205546875,143,0,17
3,stratified,160,0.2000136526795017,0.043473067059225115,0.20533018444359855,0.04299282177644993,0.005316531764096818,4.998685623926852e-11,0.010859375,109,0,51,-0.49067866260371346,0.029383726536603677,-0.483797327272452,0.02910651670092851,0.006881335331261375,3.853916347680136e-21,0.03546875,139,0,21
5,natural,160,-0.10638537469963713,0.013669210313941867,-0.07307747237340363,0.009997944192235571,0.03330790232623353,2.4070833116942586e-13,0.138203125,115,0,45,-0.2482484169292869,0.00793546652338189,-0.18268721036071583,0.005805759903909371,0.06556120656857112,5.23953462037631e-28,0.431953125,160,0,0
5,stratified,160,0.27404828738760206,0.03826090467629559,0.27904400697119297,0.03770704529548805,0.004995719583590949,3.1174305947641554e-09,0.005078125,106,0,54,-0.6006892342499857,0.020112656556862542,-0.5903033085883586,0.019865028736372813,0.010385925661627096,8.70573203783691e-28,0.083828125,155,0,5
8,natural,160,-0.06839489466650883,0.010447983284989875,-0.04925006454150304,0.007272186423302631,0.01914483012500578,1.6623067753917577e-07,0.098515625,106,0,54,-0.2210121501367654,0.006850618980308518,-0.1528240779135736,0.00475675415345492,0.06818807222319176,9.742811396045071e-28,0.50578125,157,0,3
8,stratified,160,0.333386601665479,0.03322841316274736,0.3362262389275668,0.03276208526009326,0.0028396372620877767,4.911559605159342e-05,-0.001796875,98,0,62,-0.6599573019282002,0.011379590301591181,-0.6491285091117491,0.011166495035098997,0.010828792816451056,6.567662838341762e-28,0.086953125,159,0,1
16,natural,160,-0.015673512804309897,0.0052533941445581725,-0.010023376268741866,0.0034035135660134878,0.0056501365355680275,0.003499699069334276,0.067890625,99,0,61,-0.15671231406027047,0.004512125632189126,-0.09604270792880057,0.0029140629853602494,0.06066960613146992,5.544203082293416e-28,0.635,159,0,1
16,stratified,160,0.4319747546711971,0.022783747094412225,0.4318565052040212,0.022606876623659934,-0.0001182494671759203,0.5407957771920673,-0.003984375,79,0,81,-0.6445881087439985,0.009017006430769975,-0.6368767199709177,0.008892676227584592,0.007711388773080907,5.23953462037631e-28,0.0740625,160,0,0
32,natural,160,0.012042331770208936,0.0029765211929355965,0.005519044676447277,0.0015861316946157945,-0.006523287093761658,0.0004050434197781445,-0.092109375,62,0,98,-0.09470013303524473,0.003140843305047088,-0.04623632329554528,0.0016837504260493674,0.048463809739699465,7.491404898209505e-28,0.693125,158,0,2
32,stratified,160,0.4479693844669139,0.01863944593710981,0.44653848147162317,0.018560011663229816,-0.0014309029952907827,1.211612041912893e-11,-0.00984375,42,0,118,-0.5872560275816421,0.010541493574509637,-0.582962288162476,0.01044231598120831,0.004293739419166118,8.543865814379252e-28,0.0378125,158,0,2
2,All,320,0.04507668968256921,0.02568479301466329,0.051964601972942906,0.02516290637526291,0.006887912290373698,5.867851545057444e-08,0.00904296875,199,0,121,-0.37077267536365577,0.017954674401390397,-0.36080662565033367,0.01775860394038421,0.009966049713322102,2.0305425352298206e-28,0.02884765625,250,0,70
3,All,320,0.059437395183037055,0.024925025376036504,0.07729680842754692,0.023979933930323497,0.017859413244509886,3.4834311364407893e-19,0.02435546875,224,0,96,-0.36607099089126094,0.017399138588775148,-0.3436957116584686,0.017317802776392107,0.022375279232792426,1.1512768013165232e-41,0.065859375,282,0,38
5,All,320,0.08383145634398244,0.022908883283659157,0.10298326729889466,0.021827113952599654,0.01915181095491224,7.787966296120638e-18,0.03865234375,221,0,99,-0.42446882558963617,0.014623716486239599,-0.38649525947453717,0.01539344555351728,0.0379735661150991,4.401571281867708e-54,0.1469140625,315,0,5
8,All,320,0.1324958534994851,0.020709475099167363,0.14348808719303188,0.019928083061564923,0.010992233693546776,2.340977165059615e-09,0.0269921875,204,0,116,-0.44048472603248284,0.013963014626535937,-0.4009762935126614,0.015157609711565436,0.039508432519821404,3.377716090544621e-53,0.14935546875,316,0,4
16,All,320,0.2081506209334436,0.01712572692447266,0.21091656446763962,0.01683084867827383,0.0027659435341960527,0.01216480059375613,0.018046875,178,0,142,-0.40065021140213447,0.014555926039390259,-0.3664597139498591,0.015844788677249082,0.03419049745227541,4.5272835264257603e-54,0.178203125,319,0,1
32,All,320,0.23000585811856142,0.015418208138953816,0.2260287630740352,0.015456504724760648,-0.00397709504452622,2.6357385903550942e-08,-0.02611328125,104,0,216,-0.34097808030844334,0.014842049474153712,-0.31459930572901057,0.015926251483548804,0.026378774579432784,9.828121481728035e-53,0.18498046875,316,0,4
All,natural,960,-0.04017174921589638,0.006056336465588378,-0.024113070627870232,0.005154658488451408,0.016058678588026145,1.7053152482630928e-31,0.038446180555555556,610,0,350,-0.20004391118437936,0.0042121049559402084,-0.1510645045172543,0.0037995379517626526,0.04897940666712505,1.4561590258042256e-151,0.2394162326388889,908,0,52
All,stratified,960,0.29317104046958925,0.014919696523419209,0.2950057681059007,0.014760617562439186,0.001834727636311334,1.5102056226841174e-08,-0.0019422743055555556,520,0,440,-0.5810979253448252,0.00846237157200515,-0.5732797988077024,0.00837808712410583,0.007818126537122695,7.164047493420751e-132,0.04631293402777778,890,0,70
All,All,1920,0.12649964562684649,0.008902882364727055,0.13544634873901523,0.0086224504858995,0.00894670311216874,3.473206534814985e-33,0.010589735243055556,1130,0,790,-0.3905709182646023,0.006422081696003865,-0.3621721516624784,0.006661078406628125,0.028398766602123874,5.61492154304115e-278,0.07824598524305555,1798,0,122
