dimension,sampling_strategy,n_experiments,spearman_dist_plcb_mean,spearman_dist_plcb_sem,spearman_dist_slcb_mean,spearman_dist_slcb_sem,spearman_dist_diff_mean,spearman_dist_pvalue,spearman_dist_cliffs_delta,spearman_dist_wins,spearman_dist_ties,spearman_dist_losses,spearman_err_plcb_mean,spearman_err_plcb_sem,spearman_err_slcb_mean,spearman_err_slcb_sem,spearman_err_diff_mean,spearman_err_pvalue,spearman_err_cliffs_delta,spearman_err_wins,spearman_err_ties,spearman_err_losses,picp_error_plcb_mean,picp_error_plcb_sem,picp_error_slcb_mean,picp_error_slcb_sem,picp_error_diff_mean,picp_error_pvalue,picp_error_cliffs_delta,picp_error_wins,picp_error_ties,picp_error_losses,winkler_plcb_mean,winkler_plcb_sem,winkler_slcb_mean,winkler_slcb_sem,winkler_diff_mean,winkler_pvalue,winkler_cliffs_delta,winkler_wins,winkler_ties,winkler_losses,outlier_auroc_plcb_mean,outlier_auroc_plcb_sem,outlier_auroc_slcb_mean,outlier_auroc_slcb_sem,outlier_auroc_diff_mean,outlier_auroc_pvalue,outlier_auroc_cliffs_delta,outlier_auroc_wins,outlier_auroc_ties,outlier_auroc_losses
2,natural,160,-0.23812713376589997,0.01506707601401628,0.018519817418296336,0.023554656760027912,-0.2566469511841964,7.018100763724325e-21,-0.486796875,29,0,131,-0.21606022393697527,0.015841478360613667,0.09270532974990493,0.02845751977140621,-0.3087655536868802,2.799847306665593e-18,-0.52,33,0,127,0.5336862499999999,0.011814380843822385,0.29787437499999997,0.01843108121926289,0.23581187499999995,5.239419276007625e-28,0.53125,0,0,160,78.4395803534168,5.296298178603465,60.46208398388232,4.4729569472884645,17.97749636953449,5.23953462037631e-28,0.45546875,0,0,160,0.41841126736111106,0.01030620572916762,0.5609380052083333,0.016749648026480008,-0.14252673784722222,1.4917402792499393e-12,-0.38515625,40,0,120
2,stratified,160,-0.5034182169614114,0.029072337128802514,0.07163356194684205,0.045644708851805854,-0.5750517789082535,1.1519224835971287e-23,-0.526171875,26,0,134,-0.07341897385940126,0.029817559951789984,0.35491576295717586,0.022838244586685232,-0.4283347368165771,3.0192122426463457e-19,-0.61078125,31,0,129,0.40343312499999995,0.007763181664834494,0.24601999999999996,0.012812308130178633,0.157413125,5.239303934094949e-28,0.5584375,0,0,160,96.70248333444816,6.603970987550759,82.61813002360186,6.048490148811385,14.084353310846302,5.23953462037631e-28,0.3125,0,0,160,0.4541529892361111,0.021210427292860632,0.6913124201388889,0.017563632898066575,-0.23715943090277775,9.083651929857306e-21,-0.513125,29,0,131
3,natural,160,-0.24146331917880848,0.012490618651776282,-0.0811388623134277,0.018824449762329182,-0.16032445686538077,5.178284939939524e-19,-0.3815625,28,0,132,-0.21835597959168349,0.017982093284702207,0.0034533988874748457,0.027723744005844275,-0.22180937847915833,9.100766667944995e-20,-0.38203125,25,0,135,0.6293893749999999,0.013176736534110679,0.42969374999999993,0.0210008101387514,0.199695625,5.239073257637115e-28,0.434296875,0,0,160,99.63533037731129,6.7312986396243275,81.06961657778719,5.9617044215582835,18.565713799524097,5.23953462037631e-28,0.465546875,0,0,160,0.3944780982638889,0.010285541467039881,0.5108812604166667,0.015575230736394696,-0.11640316215277777,7.362346626618546e-17,-0.359375,32,0,128
3,stratified,160,-0.49067866260371346,0.029383726536603677,0.2000136526795017,0.043473067059225115,-0.6906923152832152,1.7726053406745755e-27,-0.648125,5,0,155,-0.06597392148920118,0.026611141229332357,0.2940037536458803,0.0209306657603574,-0.3599776751350815,1.7452865500471943e-14,-0.547890625,49,0,111,0.4417518749999999,0.006511169767322568,0.3207593749999999,0.01082918798157602,0.12099250000000002,1.7527211615905802e-26,0.539609375,3,0,157,97.9513853871363,6.593376956270766,85.10377094670477,6.16180170176524,12.847614440431533,5.3391989435843155e-28,0.318515625,1,0,159,0.45586146111111103,0.02039528949043646,0.7046681809027777,0.012035994890955958,-0.24880671979166666,1.973019361140899e-22,-0.533515625,26,0,134
5,natural,160,-0.2482484169292869,0.00793546652338189,-0.10638537469963713,0.013669210313941867,-0.14186304222964977,2.3309570377625208e-23,-0.479765625,19,0,141,-0.1956467659855788,0.014631341984431334,-0.017446763982022506,0.020876820746181857,-0.1782000020035563,1.43391823700071e-22,-0.377421875,25,0,135,0.6991068749999999,0.017439867377718715,0.536755625,0.025252910174577484,0.16235125,5.440743375273405e-28,0.3195703125,1,0,159,136.13398041488273,9.314034885824062,115.29200231502698,8.482109947545444,20.84197809985576,5.440743375273405e-28,0.375625,1,0,159,0.39957362118055556,0.007221476523159431,0.49126666874999997,0.01081903634262237,-0.09169304756944444,3.865343176075374e-19,-0.384140625,30,0,130
5,stratified,160,-0.6006892342499857,0.020112656556862542,0.27404828738760206,0.03826090467629559,-0.8747375216375877,5.23953462037631e-28,-0.858671875,0,0,160,-0.04663397652454619,0.028101866577531106,0.17948141055774885,0.02447446034966308,-0.2261153870822951,3.8005746949092255e-06,-0.352421875,73,0,87,0.49476125,0.008788323173621316,0.4468512499999999,0.008812296386313607,0.04791,6.36609913552073e-07,0.3887890625,43,0,117,103.0546671662335,6.702334799468034,92.20594413840502,6.198549134132427,10.84872302782849,5.016546985416298e-27,0.216640625,8,0,152,0.4678777145833333,0.021783024378932415,0.675835051736111,0.010893520320370434,-0.20795733715277773,2.700857813066811e-14,-0.442890625,41,0,119
8,natural,160,-0.2210121501367654,0.006850618980308518,-0.06839489466650883,0.010447983284989875,-0.15261725547025656,7.530473110221924e-27,-0.653046875,8,0,152,-0.17659924963166843,0.01117340845846521,-0.003753093158599519,0.014034128794874574,-0.1728461564730689,5.96810387260948e-24,-0.53875,18,0,142,0.7349137499999999,0.021282461064645708,0.6259056249999999,0.02805925020749241,0.10900812500000001,5.439307142899114e-28,0.2449609375,1,0,159,183.92795051327764,12.565514554135774,162.74365183006358,11.800071613797352,21.18429868321408,5.3391989435843155e-28,0.265,1,0,159,0.41238735069444454,0.005738411652442973,0.501212615625,0.0071652319629013205,-0.08882526493055555,3.8263489054569455e-23,-0.543828125,19,0,141
8,stratified,160,-0.6599573019282002,0.011379590301591181,0.333386601665479,0.03322841316274736,-0.9933439035936793,5.23953462037631e-28,-0.948984375,0,0,160,-0.010014013002043697,0.031327110462655516,0.10635333880128599,0.026783482376646368,-0.11636735180332973,0.014911773484572101,-0.164296875,74,0,86,0.5367793749999998,0.00986112372310828,0.532576875,0.012557835392064128,0.004202499999999998,0.5487160712594188,-0.0198046875,57,0,103,114.00002729588209,6.869459535087737,107.57771565042594,6.353551323424206,6.422311645456164,1.5055874297311615e-15,0.067265625,45,0,115,0.5224898138888888,0.023299421519179027,0.5937032649305556,0.015695349746262268,-0.07121345104166665,0.024093715666811396,-0.108515625,74,0,86
16,natural,160,-0.15671231406027047,0.004512125632189126,-0.015673512804309897,0.0052533941445581725,-0.1410388012559606,5.23953462037631e-28,-0.889296875,0,0,160,-0.12270061726652663,0.007744530602931254,0.014398118354941588,0.005287303511716906,-0.13709873562146824,5.885520133922764e-25,-0.7046875,15,0,145,0.754814375,0.02511280668559463,0.69848625,0.030969998409491134,0.05632812500000001,4.0023708902871083e-26,0.2218359375,5,2,153,274.2629691321403,18.66760070609727,254.2644764403815,17.95378086731188,19.9984926917588,1.2198523025038614e-27,0.20328125,1,0,159,0.4385496847222223,0.004460351178762945,0.5110049847222222,0.0028982755206999025,-0.0724553,4.351465694513261e-25,-0.714609375,13,0,147
16,stratified,160,-0.6445881087439985,0.009017006430769975,0.4319747546711971,0.022783747094412225,-1.0765628634151956,5.23953462037631e-28,-0.99296875,0,0,160,0.04797715996034788,0.029839545326897768,0.026978470913848397,0.025287431447050125,0.020998689046499486,0.3272844475227751,0.151328125,78,0,82,0.593571875,0.011441367800560405,0.5495325,0.013456566560920749,0.04403937499999999,1.2252511617922103e-19,0.25625,15,0,145,141.9701980100741,7.379182106102887,140.93697326316095,6.953501006345153,1.0332247469131466,0.08195988634253888,-0.01171875,75,0,85,0.5598550656250001,0.025689856898228718,0.5092334045138889,0.01911357945681478,0.050621661111111084,0.09946994330322816,0.220390625,80,0,80
