iteration,config_id,optimizer_id,k,decay_lambda,eps,loss_normalized_regret
1,cfg_001,SMAC20_ProximityLCB_iter001,25,1.345,0.1678,0.07946156438713561
2,cfg_002,SMAC20_ProximityLCB_iter002,8,0.6803813379258,0.1317016451806,0.020422072627622138
3,cfg_003,SMAC20_ProximityLCB_iter003,24,1.1588663859293,0.0751344578713,0.020812250311898425
4,cfg_004,SMAC20_ProximityLCB_iter004,13,1.6432612825185,0.1954405817948,0.016598828039604163
5,cfg_005,SMAC20_ProximityLCB_iter005,18,0.2091992041096,0.0489804253541,0.016356082117337613
6,cfg_006,SMAC20_ProximityLCB_iter006,27,0.5390523955226,0.176995251514,0.026187506320196556
7,cfg_007,SMAC20_ProximityLCB_iter007,11,1.9733548836783,0.031241052486,0.020690816334167632
8,cfg_008,SMAC20_ProximityLCB_iter008,22,1.5019118346274,0.1494371261634,0.024238193540569188
9,cfg_009,SMAC20_ProximityLCB_iter009,16,1.023653302528,0.0935702314414,0.014759031715305678
10,cfg_010,SMAC20_ProximityLCB_iter010,23,0.9188529925421,0.1820463208109,0.02025465737600893
11,cfg_011,SMAC20_ProximityLCB_iter011,15,1.3966797158122,0.0585064772516,0.026132485182469616
12,cfg_012,SMAC20_ProximityLCB_iter012,17,1.0015358537059,0.1060542263421,0.02769737033067017
13,cfg_013,SMAC20_ProximityLCB_iter013,19,0.9158176257032,0.0986736216389,0.016633168461695394
14,cfg_014,SMAC20_ProximityLCB_iter014,18,0.8284938339927,0.0752098380589,0.014396259749101593
15,cfg_015,SMAC20_ProximityLCB_iter015,17,0.6890668400974,0.0874564612732,0.019017654365914786
16,cfg_016,SMAC20_ProximityLCB_iter016,19,0.7499764604848,0.0773042327985,0.020296429282006256
17,cfg_017,SMAC20_ProximityLCB_iter017,16,0.7404721459858,0.0905042972283,0.026115709117787024
18,cfg_018,SMAC20_ProximityLCB_iter018,18,1.0346883308538,0.0849080598489,0.0181836849835938
19,cfg_019,SMAC20_ProximityLCB_iter019,17,0.841132890784,0.090058563198,0.01753371706160501
20,cfg_020,SMAC20_ProximityLCB_iter020,18,0.7973879016678,0.0762479791199,0.014872667702893382
21,cfg_021,SMAC20_ProximityLCB_iter021,18,0.8164705005016,0.0754528279729,0.02729054772826113
22,cfg_022,SMAC20_ProximityLCB_iter022,18,0.832640712497,0.0755705980896,0.01678343222694592
23,cfg_023,SMAC20_ProximityLCB_iter023,18,0.8054848394689,0.0760903865585,0.02340059095190161
24,cfg_024,SMAC20_ProximityLCB_iter024,18,0.7921957466045,0.075600171805,0.015135057993281992
25,cfg_025,SMAC20_ProximityLCB_iter025,18,0.8250607616486,0.0758826387502,0.030541207014457283
26,cfg_026,SMAC20_ProximityLCB_iter026,13,1.166329697141,0.1427190026754,0.014639868365788724
27,cfg_027,SMAC20_ProximityLCB_iter027,13,1.8281481549914,0.0487049109607,0.01947369285152601
28,cfg_028,SMAC20_ProximityLCB_iter028,14,1.0842162688193,0.0318826273251,0.01853616553488485
29,cfg_029,SMAC20_ProximityLCB_iter029,22,0.8279008007975,0.0752616840063,0.020821652839884543
