optimizer_id,Rank (T=11),Rank (T=15),Rank (T=20),Rank (T=25),Rank (T=35),Rank (T=50)
SMAC20_CustomUncertainty_ei_standard_disagreement,8.805555555555555,7.416666666666667,8.194444444444445,7.555555555555555,6.555555555555555,5.972222222222222
SMAC20_CustomUncertainty_ei_standard_proximity,8.805555555555555,9.805555555555555,9.194444444444445,8.916666666666666,7.444444444444445,7.0
SMAC20_CustomUncertainty_ei_proximity_b,8.805555555555555,7.833333333333333,7.25,7.25,7.138888888888889,7.166666666666667
SMAC20_CustomUncertainty_ei_likelihood_credal,8.805555555555555,7.944444444444445,7.694444444444445,7.111111111111111,7.305555555555555,7.305555555555555
SMAC20_CustomUncertainty_ei_shaker_entropy,8.805555555555555,6.527777777777778,9.305555555555555,7.638888888888889,7.027777777777778,7.361111111111111
SMAC20_CustomUncertainty_ei_proximity_auto_lambda,8.805555555555555,5.944444444444445,8.555555555555555,6.583333333333333,7.166666666666667,7.416666666666667
CARPSDynamicRF_AdditiveEpistemic_ei_likelihood_credal,7.75,6.666666666666667,6.638888888888889,6.527777777777778,6.638888888888889,7.527777777777778
CARPSDynamicRF_AdditiveEpistemic_ei_proximity_b,6.166666666666667,9.555555555555555,7.416666666666667,8.5,9.027777777777779,7.888888888888889
CARPSDynamicRF_AdditiveEpistemic_ei_proximity_bc,6.444444444444445,8.972222222222221,8.36111111111111,9.472222222222221,8.722222222222221,7.944444444444445
SMAC20_CustomUncertainty_ei_proximity_bc,8.805555555555555,6.638888888888889,8.13888888888889,7.166666666666667,7.333333333333333,8.416666666666666
CARPSDynamicRF_AdditiveEpistemic_ei_standard_disagreement,8.166666666666666,9.777777777777779,7.833333333333333,9.11111111111111,8.694444444444445,8.777777777777779
CARPSDynamicRF_AdditiveEpistemic_ei_shaker_entropy,7.472222222222222,9.166666666666666,9.333333333333334,8.88888888888889,10.11111111111111,8.805555555555555
CARPSDynamicRF_AdditiveEpistemic_ei_standard_proximity,6.722222222222222,8.416666666666666,6.472222222222222,7.972222222222222,8.86111111111111,9.027777777777779
SMAC3_HPOFacade_ei,8.805555555555555,6.611111111111111,7.972222222222222,8.38888888888889,8.333333333333334,9.472222222222221
CARPSDynamicRF_AdditiveEpistemic_ei_proximity_auto_lambda,6.833333333333333,8.722222222222221,7.638888888888889,8.916666666666666,9.63888888888889,9.916666666666666
