task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/16/1/0,16,30,0.32133866341211303,0.5920507177645375,26,4,0,-0.6733333333333333,3.7904828786849976e-06,0.0005117151886224747
bbob/16/1/1,16,30,0.3986791808736416,0.6190291727115641,27,3,0,-0.5533333333333333,1.218356192111969e-05,0.00157167948782444
bbob/16/1/2,16,30,0.27242497249446185,0.5709429914687176,27,3,0,-0.7355555555555555,1.6838312149047852e-06,0.00023405253887176514
bbob/16/10/0,16,30,0.33532670482283394,0.40746757832985053,18,12,0,-0.2222222222222222,0.18396909348666668,1.0
bbob/16/10/1,16,30,0.11846343534247677,0.2575507814340102,27,3,0,-0.5444444444444445,4.968419671058655e-05,0.006061471998691559
bbob/16/10/2,16,30,0.20809164991711082,0.3639055633266334,22,7,1,-0.43666666666666665,0.018970134910080236,1.0
bbob/16/11/0,16,30,0.022773965466831067,0.14065832351465168,20,9,1,-0.3055555555555556,0.0027461281721087192,0.21969025376869755
bbob/16/11/1,16,30,0.025460363077383925,0.11234825614487899,20,9,1,-0.4011111111111111,0.004775081659652943,0.35335604281431776
bbob/16/11/2,16,30,0.07128425374502215,0.157292823833273,17,12,1,-0.15888888888888886,0.0817418442205618,1.0
bbob/16/12/0,16,30,0.36730392664134814,0.511094688966234,21,9,0,-0.3933333333333333,0.027741437777876854,1.0
bbob/16/12/1,16,30,0.24393421075800398,0.5510034941548952,29,1,0,-0.7666666666666666,5.587935447692871e-09,8.046627044677734e-07
bbob/16/12/2,16,30,0.26021936024489495,0.4408088385550315,26,4,0,-0.5822222222222222,3.7904828786849976e-06,0.0005117151886224747
bbob/16/13/0,16,30,0.47283771344726305,0.6442908027070295,23,7,0,-0.4,0.0050126127898693085,0.3659207336604595
bbob/16/13/1,16,30,0.40144731905205056,0.6802165319448932,26,4,0,-0.6177777777777778,1.1920928955078125e-06,0.00016689300537109375
bbob/16/13/2,16,30,0.4518466800807876,0.6738186234185556,27,3,0,-0.6911111111111111,3.855675458908081e-07,5.436502397060394e-05
bbob/16/14/0,16,30,0.3847909542825019,0.5428677084767206,21,8,1,-0.4144444444444444,0.0019161536661946872,0.16095690796035372
bbob/16/14/1,16,30,0.33582363805384596,0.4942043784076169,23,7,0,-0.4355555555555556,0.0011314544826745987,0.10296235792338848
bbob/16/14/2,16,30,0.34729969749573647,0.509567838803331,22,8,0,-0.3911111111111111,0.0029870010912418365,0.23298608511686325
bbob/16/15/0,16,30,0.2286313682572838,0.475017195172742,26,4,0,-0.6644444444444444,1.991167664527893e-06,0.00027478113770484924
bbob/16/15/1,16,30,0.3100081878332049,0.471935068636916,22,8,0,-0.4066666666666666,0.001718590036034584,0.14779874309897423
bbob/16/15/2,16,30,0.3961175663498188,0.648351027964874,25,5,0,-0.5933333333333333,2.366676926612854e-05,0.002982012927532196
bbob/16/16/0,16,30,0.5324267603142049,0.550173384374413,19,9,2,-0.09777777777777774,0.5237341899765697,1.0
bbob/16/16/1,16,30,0.5078214771998254,0.5748852591921362,18,7,5,-0.20333333333333337,0.061479600972908534,1.0
