task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/16/1/0,16,30,0.3407403620206622,0.627192732604284,29,1,0,-0.8,5.587935447692871e-09,7.711350917816162e-07
bbob/16/1/1,16,30,0.289204476056005,0.4983499511939954,28,2,0,-0.6622222222222223,1.30385160446167e-08,1.7471611499786377e-06
bbob/16/1/2,16,30,0.19728667591328092,0.6171276066051381,29,1,0,-0.9288888888888889,5.587935447692871e-09,7.711350917816162e-07
bbob/16/10/0,16,30,0.2758794907098409,0.48295163411044445,23,7,0,-0.47111111111111115,0.00012333691120147705,0.008016899228096008
bbob/16/10/1,16,30,0.1599848579130395,0.4277823367513996,26,4,0,-0.6911111111111111,5.144625902175903e-06,0.0005401857197284698
bbob/16/10/2,16,30,0.27947174976369565,0.38624347839956624,18,11,1,-0.2255555555555555,0.045484489171984846,0.9096897834396969
bbob/16/11/0,16,30,0.01897886237340288,0.10649750107055769,25,3,2,-0.4422222222222222,0.00015679291057707078,0.01003474627693253
bbob/16/11/1,16,30,0.20499225657609504,0.24489675023918567,15,13,2,-0.12444444444444447,0.632507939829223,1.0
bbob/16/11/2,16,30,0.13836788144701986,0.17740776152265916,13,16,1,-0.05888888888888888,0.854172545006435,1.0
bbob/16/12/0,16,30,0.4007181397759288,0.505623310508702,19,11,0,-0.3155555555555556,0.026228994131088257,0.5508088767528534
bbob/16/12/1,16,30,0.31601509279343193,0.5482867102113074,25,5,0,-0.6911111111111111,9.220093488693237e-06,0.0009035691618919373
bbob/16/12/2,16,30,0.28992996648957864,0.4773735348336835,25,5,0,-0.5355555555555556,0.00018860027194023132,0.01150461658835411
bbob/16/13/0,16,30,0.4328865744319362,0.6832173481726899,25,4,1,-0.6033333333333333,9.781652253211938e-06,0.000939038616308346
bbob/16/13/1,16,30,0.4208236845550244,0.6840080964139741,28,2,0,-0.6333333333333333,2.348795533180237e-06,0.00025836750864982605
bbob/16/13/2,16,30,0.39075788157363917,0.7028743239698717,27,3,0,-0.7644444444444445,1.4193356037139893e-06,0.0001575462520122528
bbob/16/14/0,16,30,0.3834848195309268,0.5589442990021348,22,8,0,-0.47111111111111115,0.0015832837671041489,0.07599762082099915
bbob/16/14/1,16,30,0.28711189525724584,0.4874425855642447,25,5,0,-0.508888888888889,0.0003449581563472748,0.019317656755447388
bbob/16/14/2,16,30,0.2993588073868582,0.6113022229752366,29,1,0,-0.72,4.6566128730773926e-08,6.146728992462158e-06
bbob/16/15/0,16,30,0.27708574708926764,0.5636671452853677,25,5,0,-0.74,6.917864084243774e-06,0.0006917864084243774
bbob/16/15/1,16,30,0.32672683658444357,0.5441176405212715,27,3,0,-0.6688888888888889,4.421919584274292e-06,0.00046872347593307495
bbob/16/15/2,16,30,0.2644197244468096,0.5325309934688275,28,2,0,-0.7088888888888889,3.5390257835388184e-08,4.706904292106628e-06
bbob/16/16/0,16,30,0.4371032733055754,0.5071773235390887,13,10,7,-0.16333333333333333,0.21239270063434001,1.0
bbob/16/16/1,16,30,0.5222675238356065,0.5502003546624267,18,8,4,-0.06888888888888889,0.39486255065456655,1.0
bbob/16/16/2,16,30,0.5469499389041387,0.6321292351013459,15,11,4,-0.18888888888888888,0.1373368801747642,1.0
bbob/16/17/0,16,30,0.4564614170493934,0.5998560630068698,20,9,1,-0.4255555555555556,0.00976695703879183,0.3125426252413386
bbob/16/17/1,16,30,0.4187503947520607,0.5164163724598335,18,12,0,-0.24,0.0803273618221283,1.0
bbob/16/17/2,16,30,0.35796046881608284,0.516722936306707,21,6,3,-0.39888888888888885,0.0028909652879307935,0.11895178072154522
bbob/16/18/0,16,30,0.37685706251700457,0.5656923463254778,23,6,1,-0.45666666666666667,0.0004791544897145572,0.025874342444586088
bbob/16/18/1,16,30,0.33557260535655004,0.4738412475810819,22,7,1,-0.4211111111111111,0.00178075699491497,0.07835330777625868
bbob/16/18/2,16,30,0.3779601653163412,0.580188279976967,25,3,2,-0.5777777777777777,0.00011890609974290849,0.007966708682774869
bbob/16/19/0,16,30,0.3176712029980134,0.514576739252322,23,6,1,-0.43000000000000005,0.0013225305101141763,0.06480399499559464
bbob/16/19/1,16,30,0.36531292088375716,0.5906167460689232,27,3,0,-0.5933333333333333,5.144625902175903e-06,0.0005401857197284698
bbob/16/19/2,16,30,0.3221721128473855,0.5571293157519333,26,2,2,-0.6555555555555556,6.521320564544369e-06,0.0006651746975835256
bbob/16/2/0,16,30,0.12028870218508088,0.2968927737303793,25,5,0,-0.6088888888888888,4.4075772166252136e-05,0.003614213317632675
bbob/16/2/1,16,30,0.17280346938301325,0.3599761615748574,25,5,0,-0.6244444444444445,1.218356192111969e-05,0.0011330712586641312
bbob/16/2/2,16,30,0.2554997948588576,0.507267289489617,22,8,0,-0.56,0.00016989745199680328,0.010533642023801804
bbob/16/20/0,16,30,0.3388640208464269,0.520545879878979,25,5,0,-0.508888888888889,0.0002562887966632843,0.014608461409807205
