fid,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,prop_wins,group
1,0.5089970636757959,0.4920640019985134,84,96,0,False,1. Separable (F1-F5)
2,0.3639482253388044,0.3418733244701728,77,102,1,False,1. Separable (F1-F5)
3,0.43100559423396123,0.4443263652190697,92,88,0,True,1. Separable (F1-F5)
4,0.4452311552677081,0.43212349911348397,89,91,0,False,1. Separable (F1-F5)
5,0.6070694956093251,0.47623049263755307,64,116,0,False,1. Separable (F1-F5)
6,0.3753698395907356,0.3671804408441102,91,89,0,False,2. Moderate Conditioning (F6-F9)
7,0.4583417592702876,0.46545534749461237,93,85,2,True,2. Moderate Conditioning (F6-F9)
8,0.3978917853669313,0.40594519226860504,92,88,0,True,2. Moderate Conditioning (F6-F9)
9,0.42042850926177006,0.49319908846381333,99,79,2,True,2. Moderate Conditioning (F6-F9)
10,0.3705131234222214,0.3625754942518995,89,90,1,False,3. Ill-Conditioned (F10-F14)
11,0.03916659434519942,0.1402023536749775,125,45,10,True,3. Ill-Conditioned (F10-F14)
12,0.4631463504251078,0.48823315280084884,93,87,0,True,3. Ill-Conditioned (F10-F14)
13,0.5257252470992969,0.535778346479172,93,87,0,True,3. Ill-Conditioned (F10-F14)
14,0.41343318334593665,0.4293019950296517,98,81,1,True,3. Ill-Conditioned (F10-F14)
15,0.4448547757100903,0.460930938472172,99,79,2,True,4. Multi-modal w/ Structure (F15-F19)
16,0.4624645905001297,0.580333556862762,115,47,18,True,4. Multi-modal w/ Structure (F15-F19)
17,0.42653079284238166,0.5105269801499743,110,68,2,True,4. Multi-modal w/ Structure (F15-F19)
18,0.4174708063061819,0.4975648881588626,109,67,4,True,4. Multi-modal w/ Structure (F15-F19)
19,0.37393611275939326,0.5146159535775056,125,53,2,True,4. Multi-modal w/ Structure (F15-F19)
20,0.39207477703993493,0.44597055998038115,100,79,1,True,5. Multi-modal w/ Weak Structure (F20-F24)
21,0.7091087494302858,0.6797392278686877,83,94,3,False,5. Multi-modal w/ Weak Structure (F20-F24)
22,0.7149890551239227,0.6929351220062664,89,91,0,False,5. Multi-modal w/ Weak Structure (F20-F24)
23,0.5529373988955598,0.5616469537125597,70,72,38,True,5. Multi-modal w/ Weak Structure (F20-F24)
24,0.45257337436947437,0.5415954420352916,118,58,4,True,5. Multi-modal w/ Weak Structure (F20-F24)
