task,dimension,fid,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/16/1/0,16,1,30,0.4740207921107015,0.4329755200062842,14,16,0,0.08666666666666667,0.583757072687149,1.0
bbob/16/1/1,16,1,30,0.4967515720300634,0.604034298498622,20,10,0,-0.28222222222222226,0.018529480323195457,1.0
bbob/16/1/2,16,1,30,0.4213637322808555,0.3764815196027734,14,16,0,0.0888888888888888,0.4771064817905426,1.0
bbob/16/10/0,16,10,30,0.293419242421061,0.34842487594110333,17,13,0,-0.11777777777777776,0.25343610532581806,1.0
bbob/16/10/1,16,10,30,0.3788463138293346,0.3533819604552353,15,15,0,-0.026666666666666616,0.9032264724373817,1.0
bbob/16/10/2,16,10,30,0.25015395681635566,0.36732144162055147,18,11,1,-0.29888888888888887,0.036920787021227815,1.0
bbob/16/11/0,16,11,30,0.009282514681829751,0.08122283417668516,24,5,1,-0.5455555555555556,0.0002085902932042624,0.029619821635005258
bbob/16/11/1,16,11,30,0.05915468767635564,0.1691551952827871,21,8,1,-0.4833333333333333,0.0022157140229893363,0.2880428229886137
bbob/16/11/2,16,11,30,0.044735066042234074,0.13766196306016096,17,13,0,-0.23111111111111116,0.17059839516878128,1.0
bbob/16/12/0,16,12,30,0.5265002301766482,0.5899653380625549,17,13,0,-0.13111111111111107,0.42795460671186447,1.0
bbob/16/12/1,16,12,30,0.3947953855076853,0.5382691610233828,19,11,0,-0.3355555555555556,0.011303061619400978,1.0
bbob/16/12/2,16,12,30,0.5906645784269041,0.6203197062152023,15,15,0,-0.05111111111111111,0.4898460879921913,1.0
bbob/16/13/0,16,13,30,0.4329869998293174,0.544730386914118,21,9,0,-0.3222222222222222,0.022098854184150696,1.0
bbob/16/13/1,16,13,30,0.4695277191158469,0.5600388568568947,18,12,0,-0.24222222222222223,0.18396909348666668,1.0
bbob/16/13/2,16,13,30,0.5517373862048393,0.5547163512683745,14,16,0,0.026666666666666616,0.9676735773682594,1.0
bbob/16/14/0,16,14,30,0.33530032053313796,0.4491449028887775,20,10,0,-0.28888888888888886,0.016431212425231934,1.0
bbob/16/14/1,16,14,30,0.3309509549606003,0.3713555929193834,19,11,0,-0.10666666666666669,0.40449450351297855,1.0
bbob/16/14/2,16,14,30,0.31691242413451687,0.3633648157694462,19,11,0,-0.16000000000000003,0.39305018074810505,1.0
bbob/16/15/0,16,15,30,0.31109142092661607,0.40167681655119897,19,11,0,-0.2777777777777778,0.0635564886033535,1.0
bbob/16/15/1,16,15,30,0.4587535338534966,0.5113010157599313,17,13,0,-0.09111111111111114,0.4161298982799053,1.0
bbob/16/15/2,16,15,30,0.5444900835402721,0.5892738586560754,17,11,2,-0.0955555555555555,0.4523776866075748,1.0
bbob/16/16/0,16,16,30,0.43039648759154525,0.4969291091313328,16,8,6,-0.22666666666666668,0.1299533902149312,1.0
bbob/16/16/1,16,16,30,0.5583161069355662,0.6550554563085993,20,5,5,-0.2433333333333333,0.01099986332396481,1.0
bbob/16/16/2,16,16,30,0.3734071388665399,0.4445688426513061,14,13,3,-0.20777777777777773,0.2588240374104106,1.0
